Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-1912216	TAX-2	TAX-1912216	Cutibacterium
TAX-1747	TAX-2	TAX-1747	Cutibacterium acnes
TAX-33011	TAX-2	TAX-33011	Cutibacterium granulosum
TAX-1117	TAX-2	TAX-1117	Cyanobacteria
TAX-1798711	TAX-2	TAX-1798711	Cyanobacteria/Melainabacteria group
TAX-167375	TAX-2	TAX-167375	Cyanobium
TAX-292564	TAX-2	TAX-292564	Cyanobium gracile
TAX-59930	TAX-2	TAX-59930	Cyanobium gracile
TAX-1892249	TAX-2	TAX-1892249	Cyanothecaceae
TAX-43988	TAX-2	TAX-43988	Cyanothece
TAX-395961	TAX-2	TAX-395961	Cyanothece sp. PCC 7425
TAX-563798	TAX-2	TAX-563798	Cyclobacteriaceae
TAX-77021	TAX-2	TAX-77021	Cylindrospermopsis
TAX-478021	TAX-2	TAX-478021	Cylindrospermopsis raciborskii
TAX-77022	TAX-2	TAX-77022	Cylindrospermopsis raciborskii
TAX-42	TAX-2	TAX-42	Cystobacter
TAX-43	TAX-2	TAX-43	Cystobacter fuscus
TAX-80811	TAX-2	TAX-80811	Cystobacterineae
TAX-2675230	TAX-2	TAX-2675230	Cytobacillus
TAX-1399	TAX-2	TAX-1399	Cytobacillus firmus
TAX-978	TAX-2	TAX-978	Cytophaga
TAX-985	TAX-2	TAX-985	Cytophaga hutchinsonii
TAX-89373	TAX-2	TAX-89373	Cytophagaceae
TAX-768507	TAX-2	TAX-768507	Cytophagales
TAX-768503	TAX-2	TAX-768503	Cytophagia
TAX-35753	TAX-2	TAX-35753	Dactylosporangium
ORG-6083	TAX-2	ORG-6083	Dactylosporangium sp. strain RH1
TAX-73029	TAX-2	TAX-73029	Dechloromonas
TAX-73030	TAX-2	TAX-73030	Dechloromonas agitata
TAX-259537	TAX-2	TAX-259537	Dechloromonas aromatica
TAX-100766	TAX-2	TAX-100766	Dechloromonas sp. MissR
TAX-204459	TAX-2	TAX-204459	Dechloromonas sp. PC1
TAX-200930	TAX-2	TAX-200930	Deferribacteres <phylum>
TAX-56112	TAX-2	TAX-56112	Dehalobacter
TAX-55583	TAX-2	TAX-55583	Dehalobacter restrictus
TAX-1202464	TAX-2	TAX-1202464	Dehalococcoidaceae
TAX-1202465	TAX-2	TAX-1202465	Dehalococcoidales
TAX-61434	TAX-2	TAX-61434	Dehalococcoides
TAX-255470	TAX-2	TAX-255470	Dehalococcoides mccartyi
TAX-311424	TAX-2	TAX-311424	Dehalococcoides mccartyi
TAX-243164	TAX-2	TAX-243164	Dehalococcoides mccartyi
TAX-61435	TAX-2	TAX-61435	Dehalococcoides mccartyi
TAX-301297	TAX-2	TAX-301297	Dehalococcoidia
TAX-183710	TAX-2	TAX-183710	Deinococcaceae
TAX-118964	TAX-2	TAX-118964	Deinococcales
TAX-188787	TAX-2	TAX-188787	Deinococci
TAX-1298	TAX-2	TAX-1298	Deinococcus
TAX-68909	TAX-2	TAX-68909	Deinococcus geothermalis
TAX-243230	TAX-2	TAX-243230	Deinococcus radiodurans
TAX-1299	TAX-2	TAX-1299	Deinococcus radiodurans
TAX-32062	TAX-2	TAX-32062	Deinococcus radiophilus
TAX-1297	TAX-2	TAX-1297	Deinococcus-Thermus
TAX-80865	TAX-2	TAX-80865	Delftia
TAX-398578	TAX-2	TAX-398578	Delftia acidovorans
ORG-6048	TAX-2	ORG-6048	Delftia acidovorans
ORG-6141	TAX-2	ORG-6141	Delftia acidovorans
TAX-80866	TAX-2	TAX-80866	Delftia acidovorans
ORG-6244	TAX-2	ORG-6244	Delftia acidovorans MC1
TAX-173681	TAX-2	TAX-173681	Delftia sp. AN3
TAX-518882	TAX-2	TAX-518882	Delftia sp. HT23
ORG-6142	TAX-2	ORG-6142	Delftia tsuruhatensis
TAX-180282	TAX-2	TAX-180282	Delftia tsuruhatensis
TAX-865865	TAX-2	TAX-865865	delta proteobacterium N47
TAX-68525	TAX-2	TAX-68525	delta/epsilon subdivisions
TAX-28221	TAX-2	TAX-28221	Deltaproteobacteria
TAX-85020	TAX-2	TAX-85020	Dermabacteraceae
TAX-85018	TAX-2	TAX-85018	Dermatophilaceae
TAX-1862	TAX-2	TAX-1862	Dermatophilus
TAX-1863	TAX-2	TAX-1863	Dermatophilus congolensis
TAX-1340414	TAX-2	TAX-1340414	Desmonostoc
TAX-1179	TAX-2	TAX-1179	Desmonostoc muscorum
TAX-2867375	TAX-2	TAX-2867375	Desulfallaceae
TAX-218207	TAX-2	TAX-218207	Desulfatibacillum
TAX-439235	TAX-2	TAX-439235	Desulfatibacillum alkenivorans
TAX-259354	TAX-2	TAX-259354	Desulfatibacillum alkenivorans
TAX-2937909	TAX-2	TAX-2937909	Desulfitobacteriaceae
TAX-36853	TAX-2	TAX-36853	Desulfitobacterium
TAX-51616	TAX-2	TAX-51616	Desulfitobacterium chlororespirans
TAX-36854	TAX-2	TAX-36854	Desulfitobacterium dehalogenans
TAX-272564	TAX-2	TAX-272564	Desulfitobacterium hafniense
TAX-138119	TAX-2	TAX-138119	Desulfitobacterium hafniense
TAX-49338	TAX-2	TAX-49338	Desulfitobacterium hafniense
TAX-2289	TAX-2	TAX-2289	Desulfobacter
TAX-2291	TAX-2	TAX-2291	Desulfobacter hydrogenophilus
TAX-213119	TAX-2	TAX-213119	Desulfobacteraceae
TAX-213118	TAX-2	TAX-213118	Desulfobacterales
TAX-2295	TAX-2	TAX-2295	Desulfobacterium
TAX-449288	TAX-2	TAX-449288	Desulfobacterium sp. PM4
TAX-213121	TAX-2	TAX-213121	Desulfobulbaceae
TAX-893	TAX-2	TAX-893	Desulfobulbus
TAX-894	TAX-2	TAX-894	Desulfobulbus propionicus
TAX-53318	TAX-2	TAX-53318	Desulfocapsa
TAX-1167006	TAX-2	TAX-1167006	Desulfocapsa sulfexigens
TAX-65555	TAX-2	TAX-65555	Desulfocapsa sulfexigens
TAX-53321	TAX-2	TAX-53321	Desulfocapsa thiozymogenes
TAX-2886822	TAX-2	TAX-2886822	Desulfocapsaceae
TAX-2904316	TAX-2	TAX-2904316	Desulfocicer
TAX-2297	TAX-2	TAX-2297	Desulfocicer niacini
TAX-2298	TAX-2	TAX-2298	Desulfocicer vacuolatum
TAX-896	TAX-2	TAX-896	Desulfococcus
TAX-125602	TAX-2	TAX-125602	Desulfococcus biacutus
TAX-2582840	TAX-2	TAX-2582840	Desulfocurvibacter
TAX-873	TAX-2	TAX-873	Desulfocurvibacter africanus
TAX-2282742	TAX-2	TAX-2282742	Desulfofarcimen
TAX-485916	TAX-2	TAX-485916	Desulfofarcimen acetoxidans
TAX-58138	TAX-2	TAX-58138	Desulfofarcimen acetoxidans
TAX-2282741	TAX-2	TAX-2282741	Desulfofundulus
TAX-1566	TAX-2	TAX-1566	Desulfofundulus australicus
TAX-760568	TAX-2	TAX-760568	Desulfofundulus kuznetsovii
TAX-58135	TAX-2	TAX-58135	Desulfofundulus kuznetsovii
TAX-213116	TAX-2	TAX-213116	Desulfomicrobiaceae
TAX-898	TAX-2	TAX-898	Desulfomicrobium
TAX-899	TAX-2	TAX-899	Desulfomicrobium baculatum
TAX-83660	TAX-2	TAX-83660	Desulfonispora
ORG-5898	TAX-2	ORG-5898	Desulfonispora thiosulfatigenes
TAX-83661	TAX-2	TAX-83661	Desulfonispora thiosulfatigenes
TAX-1634037	TAX-2	TAX-1634037	Desulfoplanes
TAX-1592317	TAX-2	TAX-1592317	Desulfoplanes formicivorans
TAX-2904687	TAX-2	TAX-2904687	Desulforapulum
TAX-2296	TAX-2	TAX-2296	Desulforapulum autotrophicum
TAX-153027	TAX-2	TAX-153027	Desulforegula
TAX-1304885	TAX-2	TAX-1304885	Desulforegula conservatrix
TAX-153026	TAX-2	TAX-153026	Desulforegula conservatrix
TAX-2299	TAX-2	TAX-2299	Desulfosarcina
TAX-90730	TAX-2	TAX-90730	Desulfosarcina cetonica
TAX-2867376	TAX-2	TAX-2867376	Desulfoscipio
TAX-39060	TAX-2	TAX-39060	Desulfoscipio geothermicus
TAX-767817	TAX-2	TAX-767817	Desulfoscipio gibsoniae
TAX-102134	TAX-2	TAX-102134	Desulfoscipio gibsoniae
TAX-79206	TAX-2	TAX-79206	Desulfosporosinus
TAX-646529	TAX-2	TAX-646529	Desulfosporosinus acidiphilus
TAX-885581	TAX-2	TAX-885581	Desulfosporosinus acidiphilus
TAX-768706	TAX-2	TAX-768706	Desulfosporosinus orientis
TAX-1563	TAX-2	TAX-1563	Desulfosporosinus orientis
TAX-339862	TAX-2	TAX-339862	Desulfosporosinus youngiae
TAX-2904715	TAX-2	TAX-2904715	Desulfosudaceae
TAX-2904716	TAX-2	TAX-2904716	Desulfosudis
TAX-181663	TAX-2	TAX-181663	Desulfosudis oleivorans
TAX-2937910	TAX-2	TAX-2937910	Desulfotomaculaceae
TAX-1562	TAX-2	TAX-1562	Desulfotomaculum
TAX-1565	TAX-2	TAX-1565	Desulfotomaculum nigrificans
TAX-872	TAX-2	TAX-872	Desulfovibrio
TAX-1121445	TAX-2	TAX-1121445	Desulfovibrio desulfuricans
TAX-876	TAX-2	TAX-876	Desulfovibrio desulfuricans
TAX-44742	TAX-2	TAX-44742	Desulfovibrio fairfieldensis
TAX-466107	TAX-2	TAX-466107	Desulfovibrio litoralis
TAX-32018	TAX-2	TAX-32018	Desulfovibrio multispirans
TAX-901	TAX-2	TAX-901	Desulfovibrio piger
TAX-63561	TAX-2	TAX-63561	Desulfovibrio sulfodismutans
TAX-882	TAX-2	TAX-882	Desulfovibrio vulgaris
TAX-883	TAX-2	TAX-883	Desulfovibrio vulgaris
TAX-881	TAX-2	TAX-881	Desulfovibrio vulgaris
TAX-194924	TAX-2	TAX-194924	Desulfovibrionaceae
TAX-213115	TAX-2	TAX-213115	Desulfovibrionales
TAX-33001	TAX-2	TAX-33001	Desulfurella
TAX-33002	TAX-2	TAX-33002	Desulfurella acetivorans
TAX-117942	TAX-2	TAX-117942	Desulfurellaceae
TAX-213113	TAX-2	TAX-213113	Desulfurellales
TAX-427922	TAX-2	TAX-427922	Desulfurivibrio
TAX-589865	TAX-2	TAX-589865	Desulfurivibrio alkaliphilus
TAX-427923	TAX-2	TAX-427923	Desulfurivibrio alkaliphilus
TAX-558314	TAX-2	TAX-558314	Desulfurobacteriaceae
TAX-1485951	TAX-2	TAX-1485951	Desulfurobacteriales
TAX-64159	TAX-2	TAX-64159	Desulfurobacterium
TAX-64160	TAX-2	TAX-64160	Desulfurobacterium thermolithotrophum
TAX-213421	TAX-2	TAX-213421	Desulfuromonadaceae
TAX-69541	TAX-2	TAX-69541	Desulfuromonadales
TAX-890	TAX-2	TAX-890	Desulfuromonas
TAX-38815	TAX-2	TAX-38815	Desulfuromonas acetexigens
TAX-281689	TAX-2	TAX-281689	Desulfuromonas acetoxidans
TAX-891	TAX-2	TAX-891	Desulfuromonas acetoxidans
TAX-869	TAX-2	TAX-869	Dichelobacter
TAX-870	TAX-2	TAX-870	Dichelobacter nodosus
TAX-204037	TAX-2	TAX-204037	Dickeya
TAX-556	TAX-2	TAX-556	Dickeya chrysanthemi
TAX-198628	TAX-2	TAX-198628	Dickeya dadantii
TAX-204038	TAX-2	TAX-204038	Dickeya dadantii
TAX-68297	TAX-2	TAX-68297	Dictyoglomi <Dictyoglomi>
TAX-37914	TAX-2	TAX-37914	Dietzia
TAX-370437	TAX-2	TAX-370437	Dietzia sp. CQ4
TAX-85029	TAX-2	TAX-85029	Dietziaceae
TAX-309512	TAX-2	TAX-309512	Dinoroseobacter
TAX-398580	TAX-2	TAX-398580	Dinoroseobacter shibae
TAX-215813	TAX-2	TAX-215813	Dinoroseobacter shibae
TAX-1433999	TAX-2	TAX-1433999	Domibacillus
TAX-29332	TAX-2	TAX-29332	Domibacillus aminovorans
TAX-189330	TAX-2	TAX-189330	Dorea
TAX-88431	TAX-2	TAX-88431	Dorea longicatena
TAX-1471399	TAX-2	TAX-1471399	Draconibacterium
TAX-1168034	TAX-2	TAX-1168034	Draconibacterium orientale
TAX-1544798	TAX-2	TAX-1544798	Draconibacterium sediminis
TAX-84157	TAX-2	TAX-84157	DSMP-degrading bacterium LFR
TAX-75654	TAX-2	TAX-75654	Duganella
TAX-445969	TAX-2	TAX-445969	Duganella sp. B2
TAX-120831	TAX-2	TAX-120831	Dyadobacter
TAX-94254	TAX-2	TAX-94254	Dyadobacter fermentans
TAX-2005520	TAX-2	TAX-2005520	Dysgonomonadaceae
TAX-1051	TAX-2	TAX-1051	Ectothiorhodospira
TAX-421628	TAX-2	TAX-421628	Ectothiorhodospira haloalkaliphila
TAX-1054	TAX-2	TAX-1054	Ectothiorhodospira shaposhnikovii
TAX-519989	TAX-2	TAX-519989	Ectothiorhodospira sp. PHS-1
TAX-72276	TAX-2	TAX-72276	Ectothiorhodospiraceae
TAX-635	TAX-2	TAX-635	Edwardsiella <enterobacteria>
TAX-636	TAX-2	TAX-636	Edwardsiella tarda
TAX-84111	TAX-2	TAX-84111	Eggerthella
TAX-479437	TAX-2	TAX-479437	Eggerthella lenta
ORG-6367	TAX-2	ORG-6367	Eggerthella lenta
TAX-84112	TAX-2	TAX-84112	Eggerthella lenta
TAX-242230	TAX-2	TAX-242230	Eggerthella sinensis
TAX-1262876	TAX-2	TAX-1262876	Eggerthella sp. CAG:298
TAX-502558	TAX-2	TAX-502558	Eggerthella sp. YY7918
TAX-1643826	TAX-2	TAX-1643826	Eggerthellaceae
TAX-1643822	TAX-2	TAX-1643822	Eggerthellales
TAX-1937963	TAX-2	TAX-1937963	Eisenibacter
TAX-997	TAX-2	TAX-997	Eisenibacter elegans
TAX-308865	TAX-2	TAX-308865	Elizabethkingia
TAX-238	TAX-2	TAX-238	Elizabethkingia meningoseptica
TAX-74152	TAX-2	TAX-74152	Elusimicrobia <phylum>
TAX-1926556	TAX-2	TAX-1926556	Emergencia
TAX-1776384	TAX-2	TAX-1776384	Emergencia timonensis
TAX-54396	TAX-2	TAX-54396	endosymbiont of Riftia pachyptila
TAX-215802	TAX-2	TAX-215802	Enhygromyxa
TAX-215803	TAX-2	TAX-215803	Enhygromyxa salina
TAX-106591	TAX-2	TAX-106591	Ensifer
TAX-106592	TAX-2	TAX-106592	Ensifer adhaerens
TAX-547	TAX-2	TAX-547	Enterobacter
TAX-61645	TAX-2	TAX-61645	Enterobacter asburiae
TAX-550	TAX-2	TAX-550	Enterobacter cloacae
TAX-354276	TAX-2	TAX-354276	Enterobacter cloacae complex
TAX-158836	TAX-2	TAX-158836	Enterobacter hormaechei
TAX-2516874	TAX-2	TAX-2516874	Enterobacter sp. CZ-1
TAX-91347	TAX-2	TAX-91347	Enterobacterales
TAX-543	TAX-2	TAX-543	Enterobacteriaceae
TAX-2719313	TAX-2	TAX-2719313	Enterocloster
TAX-208479	TAX-2	TAX-208479	Enterocloster bolteae
TAX-1531	TAX-2	TAX-1531	Enterocloster clostridioformis
TAX-81852	TAX-2	TAX-81852	Enterococcaceae
TAX-1350	TAX-2	TAX-1350	Enterococcus
TAX-33945	TAX-2	TAX-33945	Enterococcus avium
TAX-37734	TAX-2	TAX-37734	Enterococcus casseliflavus
TAX-1158653	TAX-2	TAX-1158653	Enterococcus faecalis
TAX-1351	TAX-2	TAX-1351	Enterococcus faecalis
TAX-1352	TAX-2	TAX-1352	Enterococcus faecium
TAX-2480627	TAX-2	TAX-2480627	Enterococcus florum
TAX-1353	TAX-2	TAX-1353	Enterococcus gallinarum
TAX-160453	TAX-2	TAX-160453	Enterococcus gilvus
TAX-1354	TAX-2	TAX-1354	Enterococcus hirae
TAX-71452	TAX-2	TAX-71452	Enterococcus raffinosus
TAX-186328	TAX-2	TAX-186328	Entomoplasmatales
TAX-655656	TAX-2	TAX-655656	environmental samples <actinobacteria,genus Cryptobacterium>
TAX-293421	TAX-2	TAX-293421	environmental samples <actinobacteria,genus Eggerthella>
TAX-48479	TAX-2	TAX-48479	environmental samples <bacteria,superkingdom Bacteria>
TAX-512311	TAX-2	TAX-512311	environmental samples <CFB group bacteria,genus Parabacteroides>
TAX-218638	TAX-2	TAX-218638	environmental samples <firmicutes,class Clostridia>
TAX-29547	TAX-2	TAX-29547	Epsilonproteobacteria
TAX-551	TAX-2	TAX-551	Erwinia
TAX-552	TAX-2	TAX-552	Erwinia amylovora
ORG-6133	TAX-2	ORG-6133	Erwinia chrysanthemi EC16
TAX-558	TAX-2	TAX-558	Erwinia sp.
TAX-1903409	TAX-2	TAX-1903409	Erwiniaceae
TAX-1505663	TAX-2	TAX-1505663	Erysipelatoclostridium
TAX-128827	TAX-2	TAX-128827	Erysipelotrichaceae
TAX-526525	TAX-2	TAX-526525	Erysipelotrichales
TAX-526524	TAX-2	TAX-526524	Erysipelotrichia
TAX-1041	TAX-2	TAX-1041	Erythrobacter
TAX-1044	TAX-2	TAX-1044	Erythrobacter longus
TAX-161528	TAX-2	TAX-161528	Erythrobacter sp. SD-21
TAX-60454	TAX-2	TAX-60454	Erythrobacter tepidarius
TAX-2800788	TAX-2	TAX-2800788	Erythrobacter/Porphyrobacter group
TAX-335929	TAX-2	TAX-335929	Erythrobacteraceae
TAX-561	TAX-2	TAX-561	Escherichia
ORG-6186	TAX-2	ORG-6186	Escherichia coli
TAX-316385	TAX-2	TAX-316385	Escherichia coli
TAX-316407	TAX-2	TAX-316407	Escherichia coli
ORG-6349	TAX-2	ORG-6349	Escherichia coli
TAX-511145	TAX-2	TAX-511145	Escherichia coli
TAX-1420014	TAX-2	TAX-1420014	Escherichia coli
TAX-362663	TAX-2	TAX-362663	Escherichia coli
TAX-1322345	TAX-2	TAX-1322345	Escherichia coli
ORG-6336	TAX-2	ORG-6336	Escherichia coli
ORG-57089	TAX-2	ORG-57089	Escherichia coli
ORG-6284	TAX-2	ORG-6284	Escherichia coli
ORG-57082	TAX-2	ORG-57082	Escherichia coli
TAX-714962	TAX-2	TAX-714962	Escherichia coli
ORG-6234	TAX-2	ORG-6234	Escherichia coli
ORG-57075	TAX-2	ORG-57075	Escherichia coli
TAX-566546	TAX-2	TAX-566546	Escherichia coli
TAX-199310	TAX-2	TAX-199310	Escherichia coli
ORG-5901	TAX-2	ORG-5901	Escherichia coli
TAX-481805	TAX-2	TAX-481805	Escherichia coli
TAX-2100515	TAX-2	TAX-2100515	Escherichia coli
ORG-6346	TAX-2	ORG-6346	Escherichia coli
ORG-57101	TAX-2	ORG-57101	Escherichia coli
TAX-364106	TAX-2	TAX-364106	Escherichia coli
TAX-1392869	TAX-2	TAX-1392869	Escherichia coli
ORG-6337	TAX-2	ORG-6337	Escherichia coli
ORG-57090	TAX-2	ORG-57090	Escherichia coli
ORG-6305	TAX-2	ORG-6305	Escherichia coli
ORG-57083	TAX-2	ORG-57083	Escherichia coli
TAX-83333	TAX-2	TAX-83333	Escherichia coli
ORG-6240	TAX-2	ORG-6240	Escherichia coli
ORG-57077	TAX-2	ORG-57077	Escherichia coli
TAX-585035	TAX-2	TAX-585035	Escherichia coli
ORG-57073	TAX-2	ORG-57073	Escherichia coli
TAX-498388	TAX-2	TAX-498388	Escherichia coli
TAX-2100519	TAX-2	TAX-2100519	Escherichia coli
ORG-57108	TAX-2	ORG-57108	Escherichia coli
TAX-413997	TAX-2	TAX-413997	Escherichia coli
ORG-6340	TAX-2	ORG-6340	Escherichia coli
ORG-57092	TAX-2	ORG-57092	Escherichia coli
ORG-6330	TAX-2	ORG-6330	Escherichia coli
ORG-57087	TAX-2	ORG-57087	Escherichia coli
ORG-6255	TAX-2	ORG-6255	Escherichia coli
ORG-57081	TAX-2	ORG-57081	Escherichia coli
TAX-634468	TAX-2	TAX-634468	Escherichia coli
ORG-6228	TAX-2	ORG-6228	Escherichia coli
ORG-57074	TAX-2	ORG-57074	Escherichia coli
TAX-511693	TAX-2	TAX-511693	Escherichia coli
TAX-469008	TAX-2	TAX-469008	Escherichia coli
ORG-6341	TAX-2	ORG-6341	Escherichia coli
ORG-57097	TAX-2	ORG-57097	Escherichia coli
TAX-37762	TAX-2	TAX-37762	Escherichia coli
TAX-562	TAX-2	TAX-562	Escherichia coli
ORG-5900	TAX-2	ORG-5900	Escherichia coli Crookes
ORG-5902	TAX-2	ORG-5902	Escherichia coli K4
TAX-2072453	TAX-2	TAX-2072453	Escherichia coli O104
TAX-2162915	TAX-2	TAX-2162915	Escherichia coli O107
TAX-1095705	TAX-2	TAX-1095705	Escherichia coli O11
TAX-1055535	TAX-2	TAX-1055535	Escherichia coli O111
TAX-373045	TAX-2	TAX-373045	Escherichia coli O111:NM
TAX-1162729	TAX-2	TAX-1162729	Escherichia coli O113
TAX-1450173	TAX-2	TAX-1450173	Escherichia coli O115
TAX-2067430	TAX-2	TAX-2067430	Escherichia coli O117
TAX-1446544	TAX-2	TAX-1446544	Escherichia coli O118:H16
TAX-870963	TAX-2	TAX-870963	Escherichia coli O127:B8
TAX-574521	TAX-2	TAX-574521	Escherichia coli O127:H6
TAX-168807	TAX-2	TAX-168807	Escherichia coli O127:H6
TAX-1450177	TAX-2	TAX-1450177	Escherichia coli O128
TAX-2072457	TAX-2	TAX-2072457	Escherichia coli O136
TAX-2100498	TAX-2	TAX-2100498	Escherichia coli O14
TAX-1055538	TAX-2	TAX-1055538	Escherichia coli O145
TAX-2067424	TAX-2	TAX-2067424	Escherichia coli O15
TAX-2170723	TAX-2	TAX-2170723	Escherichia coli O153
TAX-1045010	TAX-2	TAX-1045010	Escherichia coli O157
TAX-83334	TAX-2	TAX-83334	Escherichia coli O157:H7
TAX-2100484	TAX-2	TAX-2100484	Escherichia coli O171
TAX-2056315	TAX-2	TAX-2056315	Escherichia coli O177
TAX-2067429	TAX-2	TAX-2067429	Escherichia coli O2
TAX-2162911	TAX-2	TAX-2162911	Escherichia coli O21
TAX-1095708	TAX-2	TAX-1095708	Escherichia coli O23
TAX-2170724	TAX-2	TAX-2170724	Escherichia coli O24
TAX-1302237	TAX-2	TAX-1302237	Escherichia coli O25b:ST131
TAX-404399	TAX-2	TAX-404399	Escherichia coli O26
TAX-2072460	TAX-2	TAX-2072460	Escherichia coli O35
TAX-861906	TAX-2	TAX-861906	Escherichia coli O44:H18
TAX-1010795	TAX-2	TAX-1010795	Escherichia coli O5
TAX-1963785	TAX-2	TAX-1963785	Escherichia coli O50
TAX-2079160	TAX-2	TAX-2079160	Escherichia coli O51
TAX-2170726	TAX-2	TAX-2170726	Escherichia coli O55
TAX-244320	TAX-2	TAX-244320	Escherichia coli O55:H7
TAX-217992	TAX-2	TAX-217992	Escherichia coli O6
TAX-2162916	TAX-2	TAX-2162916	Escherichia coli O7
TAX-2170725	TAX-2	TAX-2170725	Escherichia coli O73
TAX-2072463	TAX-2	TAX-2072463	Escherichia coli O78
TAX-1072458	TAX-2	TAX-1072458	Escherichia coli O7:K1
TAX-1010796	TAX-2	TAX-1010796	Escherichia coli O8
TAX-2079164	TAX-2	TAX-2079164	Escherichia coli O83
TAX-2162909	TAX-2	TAX-2162909	Escherichia coli O86
TAX-1010797	TAX-2	TAX-1010797	Escherichia coli O9
TAX-564	TAX-2	TAX-564	Escherichia fergusonii
TAX-186806	TAX-2	TAX-186806	Eubacteriaceae
TAX-186802	TAX-2	TAX-186802	Eubacteriales
TAX-543314	TAX-2	TAX-543314	Eubacteriales Family XIII. Incertae Sedis
TAX-538999	TAX-2	TAX-538999	Eubacteriales incertae sedis
TAX-1730	TAX-2	TAX-1730	Eubacterium
TAX-1528	TAX-2	TAX-1528	Eubacterium barkeri
TAX-1736	TAX-2	TAX-1736	Eubacterium limosum
ORG-5904	TAX-2	ORG-5904	Eubacterium oxidoreducens
TAX-1732	TAX-2	TAX-1732	Eubacterium oxidoreducens
TAX-155865	TAX-2	TAX-155865	Eubacterium pyruvativorans
TAX-394229	TAX-2	TAX-394229	Eubacterium sp. A-44
TAX-446680	TAX-2	TAX-446680	Eudoraea
TAX-446681	TAX-2	TAX-446681	Eudoraea adriatica
TAX-33986	TAX-2	TAX-33986	Exiguobacterium
TAX-41170	TAX-2	TAX-41170	Exiguobacterium acetylicum
TAX-262543	TAX-2	TAX-262543	Exiguobacterium sibiricum
TAX-332410	TAX-2	TAX-332410	Exiguobacterium sibiricum
TAX-216851	TAX-2	TAX-216851	Faecalibacterium
TAX-853	TAX-2	TAX-853	Faecalibacterium prausnitzii
TAX-1270155	TAX-2	TAX-1270155	Falsibacillus
TAX-493781	TAX-2	TAX-493781	Falsibacillus pallidus
TAX-1783270	TAX-2	TAX-1783270	FCB group
TAX-1643950	TAX-2	TAX-1643950	Fervidobacteriaceae
TAX-2422	TAX-2	TAX-2422	Fervidobacterium
TAX-2424	TAX-2	TAX-2424	Fervidobacterium nodosum
TAX-1239	TAX-2	TAX-1239	Firmicutes
TAX-1190	TAX-2	TAX-1190	Fischerella
TAX-230521	TAX-2	TAX-230521	Fischerella ambigua
TAX-56108	TAX-2	TAX-56108	Fischerella ambigua
TAX-83542	TAX-2	TAX-83542	Fischerella muscicola
TAX-92938	TAX-2	TAX-92938	Fischerella muscicola
TAX-1535197	TAX-2	TAX-1535197	Fischerella sp. ATCC 43239
TAX-1930929	TAX-2	TAX-1930929	Fischerella sp. SAG 46.79
TAX-49546	TAX-2	TAX-49546	Flavobacteriaceae
TAX-200644	TAX-2	TAX-200644	Flavobacteriales
TAX-117743	TAX-2	TAX-117743	Flavobacteriia
TAX-237	TAX-2	TAX-237	Flavobacterium
TAX-376686	TAX-2	TAX-376686	Flavobacterium johnsoniae
TAX-986	TAX-2	TAX-986	Flavobacterium johnsoniae
TAX-29534	TAX-2	TAX-29534	Flavobacterium saccharophilum
ORG-5906	TAX-2	ORG-5906	Flavobacterium sp.
TAX-992	TAX-2	TAX-992	Flexibacter
TAX-2762284	TAX-2	TAX-2762284	Flexibacteraceae
TAX-332102	TAX-2	TAX-332102	Fluviicola
TAX-191579	TAX-2	TAX-191579	Fluviicola taffensis
TAX-1940255	TAX-2	TAX-1940255	Fournierella
TAX-1650663	TAX-2	TAX-1650663	Fournierella massiliensis
TAX-262	TAX-2	TAX-262	Francisella
TAX-376619	TAX-2	TAX-376619	Francisella tularensis
TAX-401614	TAX-2	TAX-401614	Francisella tularensis
TAX-177416	TAX-2	TAX-177416	Francisella tularensis
TAX-119856	TAX-2	TAX-119856	Francisella tularensis
TAX-119857	TAX-2	TAX-119857	Francisella tularensis
TAX-264	TAX-2	TAX-264	Francisella tularensis
TAX-263	TAX-2	TAX-263	Francisella tularensis
TAX-34064	TAX-2	TAX-34064	Francisellaceae
TAX-1854	TAX-2	TAX-1854	Frankia
TAX-298653	TAX-2	TAX-298653	Frankia sp. EAN1pec
TAX-74712	TAX-2	TAX-74712	Frankiaceae
TAX-85013	TAX-2	TAX-85013	Frankiales
TAX-70411	TAX-2	TAX-70411	Frateuria
TAX-70412	TAX-2	TAX-70412	Frateuria sp. ANA-18
TAX-2767881	TAX-2	TAX-2767881	Fructilactobacillus
TAX-1625	TAX-2	TAX-1625	Fructilactobacillus sanfranciscensis
TAX-217510	TAX-2	TAX-217510	Fulvimarina
TAX-314231	TAX-2	TAX-314231	Fulvimarina pelagi
TAX-217511	TAX-2	TAX-217511	Fulvimarina pelagi
TAX-32066	TAX-2	TAX-32066	Fusobacteria <Fusobacteria>
TAX-203492	TAX-2	TAX-203492	Fusobacteriaceae
TAX-2053555	TAX-2	TAX-2053555	Fusobacteriaceae bacterium
TAX-203491	TAX-2	TAX-203491	Fusobacteriales
TAX-203490	TAX-2	TAX-203490	Fusobacteriia
TAX-848	TAX-2	TAX-848	Fusobacterium
TAX-851	TAX-2	TAX-851	Fusobacterium nucleatum
TAX-856	TAX-2	TAX-856	Fusobacterium varium
TAX-90627	TAX-2	TAX-90627	Gallionellaceae
TAX-314287	TAX-2	TAX-314287	gamma proteobacterium HTCC2207
