Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-1654	TAX-2	TAX-1654	Actinomyces
TAX-1658	TAX-2	TAX-1658	Actinomyces bovis
TAX-1659	TAX-2	TAX-1659	Actinomyces israelii
TAX-1656	TAX-2	TAX-1656	Actinomyces viscosus
TAX-2049	TAX-2	TAX-2049	Actinomycetaceae
TAX-2037	TAX-2	TAX-2037	Actinomycetales
ORG-5859	TAX-2	ORG-5859	Actinomycete S4
TAX-1760	TAX-2	TAX-1760	Actinomycetia
TAX-1865	TAX-2	TAX-1865	Actinoplanes
TAX-1866	TAX-2	TAX-1866	Actinoplanes missouriensis
TAX-134676	TAX-2	TAX-134676	Actinoplanes sp. SE50/110
TAX-1869	TAX-2	TAX-1869	Actinoplanes utahensis
TAX-1849	TAX-2	TAX-1849	Actinopolyspora
TAX-1850	TAX-2	TAX-1850	Actinopolyspora halophila
TAX-622451	TAX-2	TAX-622451	Actinopolysporaceae
TAX-622450	TAX-2	TAX-622450	Actinopolysporales
TAX-40566	TAX-2	TAX-40566	Actinosynnema
TAX-446462	TAX-2	TAX-446462	Actinosynnema mirum
TAX-40567	TAX-2	TAX-40567	Actinosynnema mirum
TAX-42198	TAX-2	TAX-42198	Actinosynnema pretiosum
TAX-42197	TAX-2	TAX-42197	Actinosynnema pretiosum
TAX-447020	TAX-2	TAX-447020	Adlercreutzia
TAX-671266	TAX-2	TAX-671266	Adlercreutzia caecimuris
TAX-394340	TAX-2	TAX-394340	Adlercreutzia equolifaciens
TAX-446660	TAX-2	TAX-446660	Adlercreutzia equolifaciens
TAX-290425	TAX-2	TAX-290425	Advenella
TAX-1247726	TAX-2	TAX-1247726	Advenella mimigardefordensis
TAX-302406	TAX-2	TAX-302406	Advenella mimigardefordensis
TAX-186827	TAX-2	TAX-186827	Aerococcaceae
TAX-1375	TAX-2	TAX-1375	Aerococcus
TAX-1376	TAX-2	TAX-1376	Aerococcus urinae
TAX-1377	TAX-2	TAX-1377	Aerococcus viridans
TAX-84642	TAX-2	TAX-84642	Aeromonadaceae
TAX-135624	TAX-2	TAX-135624	Aeromonadales
TAX-642	TAX-2	TAX-642	Aeromonas
TAX-648	TAX-2	TAX-648	Aeromonas caviae
TAX-644	TAX-2	TAX-644	Aeromonas hydrophila
TAX-650	TAX-2	TAX-650	Aeromonas jandaei
TAX-645	TAX-2	TAX-645	Aeromonas salmonicida
TAX-646	TAX-2	TAX-646	Aeromonas sobria
ORG-5860	TAX-2	ORG-5860	Aeromonas sp.
TAX-1033	TAX-2	TAX-1033	Afipia
TAX-40137	TAX-2	TAX-40137	Afipia carboxidovorans
ORG-6063	TAX-2	ORG-6063	Afipia felis
ORG-6064	TAX-2	ORG-6064	Afipia felis
ORG-6065	TAX-2	ORG-6065	Afipia felis
TAX-1035	TAX-2	TAX-1035	Afipia felis
TAX-2048137	TAX-2	TAX-2048137	Agathobaculum
TAX-39484	TAX-2	TAX-39484	Agathobaculum desmolans
TAX-416916	TAX-2	TAX-416916	Aggregatibacter
TAX-714	TAX-2	TAX-714	Aggregatibacter actinomycetemcomitans
TAX-357	TAX-2	TAX-357	Agrobacterium
TAX-44155	TAX-2	TAX-44155	Agrobacterium aurantiacum
TAX-1176649	TAX-2	TAX-1176649	Agrobacterium fabrum
TAX-176299	TAX-2	TAX-176299	Agrobacterium fabrum
TAX-311403	TAX-2	TAX-311403	Agrobacterium radiobacter
ORG-6047	TAX-2	ORG-6047	Agrobacterium radiobacter
TAX-359	TAX-2	TAX-359	Agrobacterium rhizogenes
TAX-1763573	TAX-2	TAX-1763573	Agrobacterium sp. 525a
TAX-1528687	TAX-2	TAX-1528687	Agrobacterium sp. AD1
ORG-6257	TAX-2	ORG-6257	Agrobacterium sp. DSM 8888
TAX-1315272	TAX-2	TAX-1315272	Agrobacterium tumefaciens
ORG-6223	TAX-2	ORG-6223	Agrobacterium tumefaciens
TAX-176300	TAX-2	TAX-176300	Agrobacterium tumefaciens
TAX-1107544	TAX-2	TAX-1107544	Agrobacterium tumefaciens
TAX-190386	TAX-2	TAX-190386	Agrobacterium tumefaciens
TAX-1183423	TAX-2	TAX-1183423	Agrobacterium tumefaciens
