Pathways	Super-Pathways
PWY-6797	
PWY-7539	
PWY-7852	
PWY-7853	
PWY-4922	
PWY-5479	
PWY-7811	PWY-7809
PWY-7286	PWY-7283
PWY-7155	
PWY-6519	BIOTIN-BIOSYNTHESIS-PWY
PWY-7147	
PWY-6578	PWY-5005
PWY-8203	
PWY-7864	
PWY-8076	PWY-4161
PWY-7689	
PWY-6502	
PWY-8061	
PWY-7340	
PWY-8141	
PWY-5407	PWY-5433
PWY-5408	PWY-5433
PWY-5380	
PWY-7878	
PWY-7832	
PWY-7831	
PWY-5411	PWY-5416
PWY-695	
PWY4FS-17	
PWY-5272	
PWY-7642	
PWY-7640	
PWY-5271	
PWY-7800	
PWY-5119	
PWY-6333	
PWY-6330	
PWY-6658	
PWY0-1312	PWY-5676 // PROPFERM-PWY // P441-PWY // P142-PWY // PWY-5600 // PWY-5485 // ACETATEUTIL-PWY
PWY-5535	PWY-7401 // PWY-7402 // PWY-5483
PWY0-1313	ACETATEUTIL-PWY
PWY-5536	PWY-5538 // PWY-5537
ACETOACETATE-DEG-PWY	
PWY-6028	
PWY-5451	
PWY-5533	
PWY-7466	
PWY-5172	
PWY-5676	
PWY-7532	
P161-PWY	
PWY-6574	
PWY-7984	
PWY-7989	
PWY-7354	
PWY-5958	
PWY-6373	
PWY-8180	
PWY-7308	P344-PWY
PWY-7309	P344-PWY
PWY-7718	
PWY1A0-6325	
PWY-6012-1	
PWY-6012	
PWY-5148	
PWY-5142	
PWY-7449	
PWY-8042	
PWY18C3-16	PWY18C3-17
PWY18C3-15	PWY18C3-17
P481-PWY	
P121-PWY	PWY66-409
PWY-6605	
PWY-6609	
PWY-6611	
PWY-6619	PWY66-409
PWY-6610	
PWY-7964	
PWY-6794	
PWY-7227	PWY-7229 // PWY66-409 // PWY-841
PWY-7220	PWY-6126
PWY-6596	PWY-5044
SALVADEHYPOX-PWY	PWY-6353
PWY-6617	
PWY-7219	PWY-7229 // PWY-6126 // PWY66-409 // PWY-841
PWY-5509	PWY-5507 // P381-PWY // PWY-6269 // COBALSYN-PWY
PWY-7975	
PWY-5507	
P381-PWY	
PWY-6268	
PWY-7962	PWY-5507 // P381-PWY
PWY-8282	
PWY-7971	COBALSYN-PWY
PWY-7972	PWY-6269
PWY-7857	PWY-5134
PWY0-1241	
AEROBACTINSYN-PWY	
PWY-3781	
PWY-7279	
PWY-4302	
PWY-5959	PWY-5961
PWY-5960	PWY-5961
PWY-7540	
PWY-5926	
PWY-6816	
PWY-5301	
PWY-5342	
PWY-5343	
PWY-8072	
PWY-8293	
PWY-5887	
PWY-6379	
P345-PWY	
PWY-6073	
PWY-6082	
PWY-6986	
PWYQT-4450	
PWY-5802	
PWY-7032	
PWY-7033	
PWY-2724	
PWY-723	
PWY-5816	PWY-5897
PWY-5806	PWY-5896
PWY-6859	
PWY0-41	
PWY-5694	P165-PWY // URDEGR-PWY // ALLANTOINDEG-PWY
PWY-5692	URDEGR-PWY
PWY-5705	
PWY-5697	PWY-5694
PWY-5698	PWY0-41 // PWY-5705 // PWY-5692
PWY-5706	PWY-6176
PWY-7455	
PWY-4801	
PWY-6310	
PWY-5377	
PWY-5946	CAROTENOID-PWY
PWY-7555	
PWY-7558	
PWY-7684	
PWY-7981	
PWY-5375	
PWY-5997	
PWY-7598	
PWY-5666	
PWY-6377	
PWY18C3-3	PWY18C3-6
PWY18C3-5	
PWY-5400	PWY-5405
PWY-7826	
PWY-5443	PWY-5507 // P381-PWY // THREOCAT-PWY
PWY-7378	
PWY0-1303	POLYAMSYN-PWY
PWY-6963	PWY-3282
PWY-6964	PWY-3282
AMMASSIM-PWY	
AMMOXID-PWY	PWY-7084
P303-PWY	
PWY-2242	
PWY-7082	
PWY-6011	
BENZCOA-PWY	
PWY-7383	PWY-7389
PWY-7384	PWY-7389
PWY-8051	
PWY-8053	
PWY6666-1	
PWY-8056	
PWY-7599	
PWY66-378	PWY-7305
PWY-6944	PWY-6928 // PWY-6947 // PWY-6937
PWY-8152	PWY-8154
PWY-7986	
PWY0-1261	
PWY-7883	
PWY-6533	
PWY-8040	
PWY-8173	
PWY-7261	
PWY-7679	
PWY-7450	
PWY-7678	
PWY-5286	
PWY-5125	
PWY-5153	
PWY-7267	
PWY-6079	PWY-2504 // PWY-6954
PWY-6077	
2AMINOBENZDEG-PWY	BENZCOA-PWY
PWY-6504	PWY-6309 // PWY-6505
PWY-7667	
PWY-7668	
PWY-6010	
PWY-7253	
PWY-7682	
PWY-5353	
PWY-7583	
PWY-7592	
PWY-7601	
PWY-7725	
PWY-6711	
PWY-7923	
PWY-6350	
PWY-6141	PWY-6146
PWY-7631	
PWY-7799	
PWY0-1299	
PWY-7569	
PWY-6684	
PWY-7431	
PWY-5431	
PWY-6316	
PWY-8264	
PWY-8101	
PWY-8263	
PWY-6421	
PWY1YI0-1	
PWY-4601	
PWY-4202	
PWY-8259	
PWY-4621	
PWY-8266	
PWY-4521	
PWY-7429	
P482-PWY	
PWY-5195	
PWY-2261	
PWY-6370	
PWY0-781	
PWY-7549	
PWY66-395	
PWY66-394	
PWY-7565	
SO4ASSIM-PWY	PWY-821 // SULFATE-CYS-PWY // PWY-5345
SULFMETII-PWY	
PWY-6683	
PWY1ZNC-1	
PWY-5288	
PWY-7636	
PWY-7623	
PWY-7080	
PWY-7980	
P141-PWY	PWY-5724
PWY-5727	
PWY-5731	
PWY-7518	
PWY-7739	
PWY-7407	
PWY-7405	
PWY-7665	
PWY-8033	
PWY-7695	
PWY-1901	
PWY-6157	
PWY-6153	
PWY-6154	
PWY0-1569	
PWY-7621	
PWY-7473	PWY-7476
PWY-7474	PWY-7476
PWY-8157	
PWY-5379	
PWY-5903	
PWY8J2-1	
PWY-7626	
PWY-7564	
PWY-8200	
PWY-7723	
PWY-5526	PWY-5529
PWY-7762	
PWY-7759	
PWY-7758	
PWY-7760	
PWY-7944	
PWY-7214	
PWY-7212	
PWY-6312	
PWY-6008	
PWY-6899	
PWY-7563	
PWY-7988	
PWY-5450	
DESULFONATION-PWY	
PWY-7970	
PWY-6443	
PWY-6444	
PWY-6446	
PWY-2503	PWY-2504 // PWY-6957 // PWY-5178 // PWY-6954 // PWY-5430
PWY-283	PWY-7402
PWY-7402	
PWY-7468	
PWY-6458	PWY-7169
PWY-1361	
CENTBENZCOA-PWY	PWY-7402 // BENZCOA-PWY // PWY-5184
P321-PWY	
PWY-6323	
PWY-3901	
PWY-6243	
PWY-6244	
PWY-7136	
PWY-7456	
PWY-7586	
PWY-4021	
PWY-3981	
PWY-3941	PWY-4221
PWY-5155	PANTOSYN-PWY
PWY-5760	
BETA-ALA-DEGRADATION-I-PWY	
PWY-1781	
PWY-8120	
PWY-5877	
PWY-5943	CAROTENOID-PWY // PWY-7393
PWY-7393	
PWY-6275	
PWY-6290	
PWY-7247	GLUCUROCAT-PWY
PWY-7740	
PWY-7993	
PWY-4961	
PWY-5399	PWY-5405
PWY-5439	PWY-5405
PWY-5394	PWY-5405
PWY-5461	
PWY-5426	PWY-5405
PWY-5403	PWY-5405
PWY-5404	PWY-5405
PWY-7067	
P124-PWY	
PWY-7692	
PWY-7754	
PWY-8134	
PWY-6061	
PWY-8256	PWY-6518
PWY-8255	PWY-6518
PWY-8254	PWY-6518
PWY-8135	
PWY-6518	
PWY-2861	
PWY-7833	
PWY0-1507	BIOTIN-BIOSYNTHESIS-PWY
PWY-7380	PWY-5005
PWY-8128	
BIOTIN-BIOSYNTHESIS-PWY	
PWY-5005	
PWY0-1264	
PWY5F9-12	
PWY-7639	
PWY-8164	
PWY-8168	
PWY-8167	
PWY-7102	
PWY-5472	
PWY-7757	
PWY-6381	
PWY-5305	
PWY-7570	
PWY-7423	
PWY-5813	
PWY-6278	
PWY-6105	
PWY-8114	
PWY-7517	
PWY-699	PWY-6544
PWY-2582	PWY-6544
PWY-6546	
PWY-7931	PWY-7933
PWY2B4Q-3	
PWY-8047	
PWY66-241	
PWY-7771	
PWY-7780	
PWY-7396	
PWY-7019	PWY-7020
PWY66-374	
PWY-7115	
PWY-241	
PWY-7117	
PWY0-1601	
PWY-5037	
PWY-5038	
PWY-6552	
PWY-6553	
PWY-6538	PWY-6632
PWY-6632	
PWY-6633	
PWY-6673	
PWY-5373	
PWY-7711	PWY-7715
CALVIN-PWY	PWY-7218 // PWY-6886 // PHOTOALL-PWY
PWY-7633	
PWY-5318	
CAMALEXIN-SYN	
PWY-6326	
PWY-5	
PWY-31	
PWY-6722	PWY-7575
PWY-5140	
PWY-5291	
PWY-5710	
PWY-5174	
PWY-6027	
PWY-2921	
PWY-8111	
PWY-6550	
PWY-8286	
PWY-8287	
PWY-8288	
PWY-1164	
PWY-5336	
PWY-7926	
PWY-7750	
PWY-5370	
PWY-5372	
PWY-6036	
PWY-7509	
PWY-5668	PHOSLIPSYN-PWY
PWY-5269	
PWY0-1545	PHOSLIPSYN-PWY
PWY-7680	
PWY66-420	
PWY-6806	
PWY-6403	
PWY-6304	
PWY-5415	PWY-6957 // PWY-6956 // PWY-5430
PWY-5420	PWY-5178 // PWY-5430
PWY-5417	PWY-6957
P183-PWY	PWY-2504 // PWY-6956 // PWY-5178 // PWY-6954 // PWY-5415
PWY-5419	PWY-5420
CATECHOL-ORTHO-CLEAVAGE-PWY	PWY-2504 // PWY-5431 // PWY-6182 // PWY-5417
PWY66-301	
PWY-5833	PWY-5823
PWY-8139	
PWY-5831	PWY-5823
PWY-6349	PWY-6141 // PWY-6350
PWY-5830	PWY-5823
PWY-6998	
PWY-7127	
PWY-5667	PHOSLIPSYN2-PWY // PWY4FS-8 // PHOSLIPSYN-PWY
PWY0-1319	PHOSLIPSYN2-PWY // PWY4FS-7 // PHOSLIPSYN-PWY
PWY-5981	
PWY-5832	PWY-5823
PWY-5834	PWY-5823
PWY-7886	
PWY-8129	
PWY-6784	
PWY-1001	
PWY-6805	
PWY-6788	
PWY18C3-7	PWY18C3-14
PWY-5632	PWY-5634
PWY-5633	PWY-5634
PWY-7119	
PWY3DJ-12	PWY-7277
PWY-6483	
PWY66-388	
PWY-7404	
PWY-7612	
PWY-5339	
PWY-6493	PWY-6503
PWY-8036	
PWY-7507	
PWY-6981	
PWY-7118	
PWY-6855	
PWY-6902	
PWY-7822	
PWY-6906	
PWY0-1309	
PWY-8032	
PWY-6529	
PWY-6197	
PWY-7939	
PWY-6083	
PWY-6039	
PWY-6040	
PWY-6781	
PWY-5086	
PWY-5064	
PWY-7764	
PWY-5098	
PWY-6927	
PWY-7164	
PWY-8126	
PWY-8127	
PWY-5068	
PWY-6107	
PWY-7810	
PWY-8065	
PWY-7823	
PWY-8191	
PWY-8239	PWY-8240
PWY18C3-1	
PWY66-341	PWY66-5
PWY66-3	PWY66-5
PWY66-4	PWY66-5
PWY-6945	PWY-6928
PWY-6946	PWY-6947
PWY-8151	PWY-8154
PWY-3385	PWY-4762
PWY-3542	PWY-4762
PWY-3561	PWY-4762
CHOLINE-BETAINE-ANA-PWY	P542-PWY
PWY-3721	PWY-7494
PWY-7167	
PWY-7494	
P542-PWY	
PWY-6566	PWY-6571 // PWY-6569
PWY-6567	PWY-6569
PWY-6573	
PWY-6572	
PWY-6163	PWY-6165 // ARO-PWY
ARO-PWY	PWY-6629 // PWY-6630 // PWY-6628 // COMPLETE-ARO-PWY
PWY-6165	
PWY-5363	
PWY-6232	
PWY-7057	
PWY-5848	
PWY-6690	
PWY-5968	
PWY-6457	PWY-6443 // PWY-7169 // PWY-6446
PWY18C3-13	PWY18C3-14
PWY-7869	
PWY-6128	
PWY-6672	
PWY-5973	PWY-6285 // PWY-6284
PWY-2781	
PWY-6038	
P2-PWY	
PWY-7696	
PWY-6670	
PWY-5679	
PWY-7205	PWY-7196
PWY-6140	PWY-6145
PWY-1269	LPSSYN-PWY // KDO-NAGLIPASYN-PWY
PWY-7674	
PWY-7719	
PWY-6749	
PWY-7131	
PWY-7529	PWY-6145
PWY-6138	PWY-6145
PWY-6139	PWY-6145
PWY-6144	PWY-6145
PWY-6143	
PWYQT-4429	
PWY-7377	PWY-5507
PWY-7376	P381-PWY
PWY-7974	
PWY-5843	
PWY-7880	
COA-PWY	PANTOSYN-PWY
PWY-7851	COA-PWY-1
P241-PWY	
PWY-5207	
PWY-7865	
PWY-7866	
PWY-7867	
PWY-7868	
P261-PWY	
PWY-6643	
PWY-8243	
COLANSYN-PWY	
PWY-5846	
PWY-8117	
PWY-5133	PWY-5134
PWY-7920	
PWY-7426	
PWY-116	
PWY-7643	
PWY0-43	
PWY-8030	
PWY-7914	
PWY-5476	PWY-5478
PWY-6540	
PWY-5176	
PWY-5319	
PWY-7398	
PWY-6332	
GLYCGREAT-PWY	
PWY-6158	
CRNFORCAT-PWY	
PWY-4722	
PWY-4741	
PWY-8296	
