Pathways	Super-Pathways
PWY-7752	
PWY-7840	
GALACTITOLCAT-PWY	HEXITOLDEGSUPER-PWY
PWY-401	
PWY-7666	
PWY-5338	
P301-PWY	
PWY-6707	
GALLATE-DEGRADATION-II-PWY	PWY-6339
GALLATE-DEGRADATION-I-PWY	
P3-PWY	
PWY-5477	PWY-5478
PWY-7448	
PWY-3621	
PWY-5748	
PWY-4041	
GAMMAHEXCHLORDEG-PWY	
PWY-5998	
PWY-6000	PWY-7592
PWY-7594	PWY-7596
PWY-7773	
PWY-7772	
PWY-7836	PWY-7835
PWY-7610	
PWY-7613	
PWY-5738	PWY-7323
PWY-5661	
PWY-6478	
PWY-5739	PWY-7323
GDPRHAMSYN-PWY	PWY-7323
PWY-5740	PWY-7323
PWY-66	COLANSYN-PWY // PWY-7323
PWY-6	
PWY-5115	
PWY-5659	COLANSYN-PWY // PWY-7323
PWY-7573	PWY-7575
PWY-8225	
PWY2B4Q-2	
PWY-6827	
PWY-2345	
PWY-7145	
PWY-7025	
PWY-5307	PWY-5310
PWY18C3-20	
PWY-6223	P281-PWY
PWY-7469	
PWY-7079	
PWY-5950	
PWY-5829	
PWY-6678	
PWY-8176	
PWY-5835	
PWY-7697	
PWY-5122	
PWY-5120	PWY-5863 // PWY-7392 // PWY-5121 // PWY-5910
PWY-5733	
PWY-5034	PWY-5053
PWY-5070	PWY-5052
PWY-5036	PWY-5052
PWY-5035	PWY-5052
PWY-5047	
PWY-7232	PWY-5052
PWY-102	
PWY-6477	
PWY-6494	
PWY-8077	
PWY-6411	
PWY-6412	
PWY-6413	
PWY-5672	
PWY-7533	
PWY-7534	
PWY-7838	PWY-7835
PWY66-381	PWY-7305
GLUCONEO-PWY	
PWY-6142	PWY-6146
PWY66-399	
GLUCOSE1PMETAB-PWY	
DHGLUCONATE-PYR-CAT-PWY	
PWY-5267	
PWYQT-4471	
PWYQT-4475	
PWY-1187	
PWYQT-4474	
PWY-2821	
PWYQT-4473	
PWYQT-4472	
PWY-601	
PWY-7901	
PWY-5662	
PWY-6685	
PWY-7902	
PWY-6813	
PWY-2161B	
PWY-5921	
PWY1G01-4	
PWY-5177	PWY-7402 // TRYPTOPHAN-DEGRADATION-1 // PWY-5184
PWY-4181	
GLUTATHIONESYN-PWY	PWY-4041
PWY-7559	
GLUT-REDOX-PWY	
PWY-4061	
PWY-6842	
PWY-4081	
PWY-4121	
PWY-2762	PWY-2055
PWY0-381	
PWY-4261	PWY0-381
PWY-6131	PWY-7003 // GOLPDLCAT-PWY
PWY-6130	GOLPDLCAT-PWY
PWY-7003	
GLYCEROLMETAB-PWY	
PWY-6118	
PWY0-1561	
PWY0-1582	
PWY0-1591	
PWY-6952	PWY0-381
BETSYN-PWY	
PWY-3722	
PWY1F-353	
P541-PWY	
PWY-6004	
PWY-3661	
PWY-3661-1	
PWY-8108	
GLYSYN-PWY	SER-GLYSYN-PWY
GLYCINE-SYN2-PWY	
GLYSYN-ALA-PWY	
GLYSYN-THR-PWY	
GLYCLEAV-PWY	
PWY-8015	
PWY-8082	
GLYCOGENSYNTH-PWY	
PWY-5067	
PWY-7900	
GLYCOCAT-PWY	
PWY-5941	
PWY-7662	
GLYCOLATEMET-PWY	GLYCOL-GLYOXDEG-PWY
GLYOXDEG-PWY	GLYCOL-GLYOXDEG-PWY
PWY-6649	
PWY-804	
PWY-782	
GLYCOLYSIS	GLYCOLYSIS-E-D // GLYCOLYSIS-TCA-GLYOX-BYPASS
PWY-5484	HEXITOLDEGSUPER-PWY // P461-PWY // P441-PWY // PWY-7345
ANAGLYCOLYSIS-PWY	ANAEROFRUCAT-PWY
PWY-1042	PWY-5464
P341-PWY	
PWY-6557	PWY-6564 // PWY-6571 // PWY-6569
PWY-7066	
PWY-5744	PWY-7024
GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS // PWY-561
PWY-7804	
PWY-7806	
PWY-7807	
PWY-7663	
PWY-7495	
PWY-5773	
PWY-6003	
PWY-5467	
PWY-7653	
PWY-7153	
PWY-7693	
PWY18C3-23	
PWY-6341	
PWY-6620	PWY66-409 // PWY-6579
PWY-6599	
PWY-6618	PWY-6579
PWY-7226	PWY-841 // PWY-7228
PWY-7222	PWY-6125
PWY-6607	PWY-6595
PWY-6606	PWY-6595
PWY-6608	PWY-6353
PWY-7221	PWY66-409 // PWY-841 // PWY-7228 // PWY-6125
PWY-5964	
PWY-7957	
PWY-7714	PWY-7715
PWY-5827	
PWY-7856	
HEME-BIOSYNTHESIS-II	PWY-5920 // PWY-5918
HEMESYN2-PWY	PWY0-1415
PWY-7552	
PWY-7766	
HEME-BIOSYNTHESIS-II-1	PWY0-1415
PWY-7554	
PWY-5874	
PWY-7845	
PWY-7844	
PWY-7843	
PWY-7846	
PWY-7847	
PWY-7848	
PWY-6423	
PWY-7027	
PWY-6558	PWY-6564
PWY-7651	
PWY-7644	
PWY-6622	
PWY-5807	PWY-5840
PWY-5105	
P122-PWY	
HEXPPSYN-PWY	PWY-7373 // PWY-5860 // PWY-5850
P461-PWY	
PWY-7630	
PWY-7632	
PWY-6401	
PWY-6173	
PWY-6181	
PWY-7690	
PWY66-421	
PWY-801	PWY-821 // PWY-6293
PWY-7910	
PWY-1061	
PWY-1081	
PWY-6840	
ANAEROFRUCAT-PWY	
PWY-6841	
PWY-5907	
PWY-8149	
PWY-6321	
PWY-7072	
PWY-6448	
PWY-7645	
P283-PWY	
PWY-5382	
PWY-6512	
PWY-6744	
PWY-6758	PWY-6751
PWY-6759	PWY-6751
PWY-6765	
PWY-6772	
PWY-6780	
PWY-6785	PWY-7731
PWY66-426	
PWY0-1577	
PWY0-1576	
PWY0-1578	
PWY-7461	
PWY-5473	
PWY-5474	
PWY-6433	
PWY-5925	
PWY-6910	PWY-6897
PWY-5317	PWY-7341
PWY-5808	
PWY-5780	
PWY-7169	
PWY-5826	
PWY-7387	
PWY-5905	
PWY-7837	PWY-7434
PWY-8158	
PWY-6958	
PWY-7049	
PWY-7724	
PWY-7050	
PWY-7602	
PWY-6940	
PWY-7882	
P42-PWY	PWY-6146
PWY-6068	
PWY-6069	
PWY-7430	
PWYQT-4476	
PWYQT-4477	
PWY-1822	
PWY-1921	
PWYDQC-4	
PWY-581	
PWY-3161	
PWY-5025	
PWY-5026	
TRPIAACAT-PWY	
PWY-2421	
PWY-8087	
PWY-1961	
PWY-1962	
PWY-1981	
PWY-2021	
PWY-1741	PWY-1782
PWY-5788	
PWY-5797	
PWY-5811	
PWY-6219	PWY-1782
PWY-5784	
PWY-7770	
PWY-5695	URSIN-PWY // PWY-6353
PWY-6123	DENOVOPURINE2-PWY
PWY-6124	PWY-841
PWY-7234	
PWY-6369	PWY-6371
PWY-6822	
PWY-7410	
PWY-5934	
PWY-2601	
PWY-7755	
PWY-7756	
PWY-2002	
PWY-2083	PWY-3097
PWY-7896	
PWY-5629	PWY-5634
PWY-5422	PWY-5416
PWY-6270	
PWY-7391	
PWY-7777	
PWY-6876	
PWY-5736	
PWY-7938	
PWY-7941	
PWY-6024	
PWY-5750	
PWY-8018	
PWY-5749	
PWY-6679	
PWY-735	
PWY-6220	PWY-6234
PWY-6233	PWY-6234
PWY-7859	
PWY-7915	
PWY-5795	
PWY-7825	
PWY-7619	
PWY-6824	
PWY-6575	
PWY-6650	
PWY-6345	
PWY-7166	
PWY-7191	
PWY-7143	
PWY-5320	PWY-6266
PWY-5348	PWY-6266
PWY-8080	
PWY-7000	
PWY-5978	PWY-5993
PWY8J2-22	
PWY-6821	
PWY-6887	
PWY-8103	PWY-8094
PWY2B4Q-6	
PWY-6467	
KDOSYN-PWY	LPSSYN-PWY // PWY-6467 // KDO-NAGLIPASYN-PWY
PWY-8284	
PWY-7675	
PWY-8246	
PWY-8074	
PWY-7676	
PWY66-367	
KETOGLUCONMET-PWY	
PWY66-368	
PWY-4681	PWY-3097
PWY-7635	
PWY-7459	
ALANINE-VALINESYN-PWY	PWY0-1061
ALANINE-SYN2-PWY	PWY0-1061 // PWY-6146 // PWY-5096
PWY0-1021	PWY0-1061
ALADEG-PWY	
ALACAT2-PWY	
ALANINE-DEG3-PWY	
PWY1-2	
PWY-8189	PROPFERM-PWY
PWY-8188	PROPFERM-PWY
PWY-6790	
ARABCAT-PWY	PWY-5257
PWY-5515	PWY-5257
PWY-5517	PWY-5257
PWY-7295	PWY-5257
ARGSYN-PWY	ARG+POLYAMINE-SYN
ARGSYNBSUB-PWY	
PWY-5154	
PWY-7400	
ARGASEDEG-PWY	
AST-PWY	
PWY0-823	ARGDEG-PWY
ARGDEG-III-PWY	
PWY-5742	
ARGDEGRAD-PWY	
ARG-PRO-PWY	
ARG-GLU-PWY	
ARGDEG-IV-PWY	
ARGDEG-V-PWY	
PWY-5024	
PWY-7523	
PWY-8187	
PWY-6344	
PWY-882	
PWY4FS-11	
PWY-5521	
PWY3DJ-35471	
PWY-6415	
PWY-8142	
PWY-8143	
PWY-7165	
PWY0-301	
PWY-6961	
PWY-6960	
PWY-6704	
PWY-6959	
ASPARAGINE-BIOSYNTHESIS	PWY0-1325
ASPARAGINESYN-PWY	ASPASN-PWY // PWY0-1325
PWY490-4	
ASPARAGINE-DEG1-PWY	
PWY-4002	
ASPARAGINE-DEG1-PWY-1	
ASPARTATESYN-PWY	ASPASN-PWY // PWY-5347 // PWY-3001 // THRESYN-PWY // PWY-6146 // PWY0-781 // PWY-5345
ASPARTATE-DEG1-PWY	
PWY-8291	
PWY-8294	
PWY-6100	
PWY-3602	PWY-3621
PWY-3641	
PWY-8307	
CARNMET-PWY	
CITRULBIO-PWY	PWY-5004
CITRULLINE-DEG-PWY	ARGDEGRAD-PWY
CYSTSYN-PWY	SULFATE-CYS-PWY
PWY-6308	
HOMOCYSDEGR-PWY	PWY-6292 // PWY-5328
PWY-8010	
PWY-7289	
PWY-I9	
PWY-7870	
PWY-8009	
CYSTEINE-DEG-PWY	PWY-5328
LCYSDEG-PWY	
PWY-5329	
PWY-6481	
PWY-6334	
PWY-8110	
FUCCAT-PWY	FUC-RHAMCAT-PWY
PWY0-1306	
PWY-7568	
PWY-7130	
PWY-5505	
GLUTSYN-PWY	PWY-5505
GLUTAMATE-SYN2-PWY	PWY-5505
GLUTSYNIII-PWY	PWY-5505
GLUGLNSYN-PWY	PWY-6963 // PWY-5505
PWY-4341	PWY-5505
GLUTAMATE-DEG1-PWY	
GLUTDEG-PWY	ASPASN-PWY
PWY0-1305	
P162-PWY	
PWY-5087	GLUDEG-II-PWY // PWY-5088
GLUDEG-II-PWY	
PWY-5088	
PWY-5766	
PWY-8190	
GLNSYN-PWY	PWY-6963 // PWY-5505
GLUTAMINDEG-PWY	
GLUTAMINEFUM-PWY	
PWY-7566	
HISTSYN-PWY	PRPP-PWY
HISDEG-PWY	
PWY-5028	
PWY-5030	
HISTDEG-PWY	
PWY-5031	
HISHP-PWY	
PWY-5344	PWY-821 // HSERMETANA-PWY // PWY-6293 // PWY-5345
PWY-1186	
PWY-7275	
HOMOSERSYN-PWY	METSYN-PWY // PWY-5347 // PWY-3001 // THRESYN-PWY // PWY-724 // PWY-5345
IDNCAT-PWY	KETOGLUCONMET-PWY
ILEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY // PWY-3001 // THREOCAT-PWY
PWY-5101	
PWY-5103	
PWY-5104	
PWY-5108	
ILEUDEG-PWY	
PWY-5078	
PWY-8184	
PWY0-1317	FUC-RHAMCAT-PWY // PWY-5459
PWY0-1315	FUC-RHAMCAT-PWY
LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY
LEU-DEG2-PWY	
PWY-5075	
PWY-5076	
PWY-7767	
PWY-8185	
DAPLYSINESYN-PWY	P4-PWY
PWY-2941	
PWY-2942	
LYSINE-AMINOAD-PWY	
PWY-3081	
PWY-5097	PWY-724
PWY0-461	PWY-5327
PWY66-425	
LYSDEGII-PWY	PWY-5327
PWY-5280	PWY-5327
PWY-5324	PWY-5327
PWY-5283	PWY-5327
PWY-5298	PWY-5327
PWY-5311	PWY-5327
PWY-5314	PWY-5327
PWY-6328	
LYSINE-DEG1-PWY	PWY-5327
P163-PWY	PWY-5327
PWY-7516	
LYXMET-PWY	PWY-5257
PWY-7685	
PWY-7686	
HOMOSER-METSYN-PWY	METSYN-PWY // PWY-5347 // P4-PWY
PWY-702	PWY-724
HSERMETANA-PWY	PWY-5345
PWY-7977	
METHIONINE-DEG1-PWY	PWY-6292 // PWY-5328
PWY-701	
PWY-5082	
PWY-7528	
PWY-7270	
PWY-7527	
ADENOSYLHOMOCYSCAT-PWY	PWY-5328
PWY-6922	
PWY-5957	
GLUTORN-PWY	ARGSYN-PWY
ARGININE-SYN4-PWY	
ORN-AMINOPENTANOATE-CAT-PWY	
PHESYN	PWY-6628 // COMPLETE-ARO-PWY
PWY-3462	PWY-3481
PWY-7432	
PHENYLALANINE-DEG1-PWY	
ANAPHENOXI-PWY	BENZCOA-PWY
PWY-5079	
PWY-6318	
PWY-7158	
PWY-8014	
PWY-8299	
PROSYN-PWY	
PWY-4981	
PWY-3341	
PWY-4281	
PROUT-PWY	
PWY-8186	
PWY-6994	
RHAMCAT-PWY	FUC-RHAMCAT-PWY
PWY-6713	
PWY-6714	
PWY0-901	
PWY-6281	
SERSYN-PWY	SER-GLYSYN-PWY // SULFATE-CYS-PWY
PWY-8011	
SERDEG-PWY	
P302-PWY	
PWY-7787	
PWY-7874	
HOMOSER-THRESYN-PWY	PWY-3001 // THRESYN-PWY // PWY-724
PWY-5437	THREOCAT-PWY
THREONINE-DEG2-PWY	THREOCAT-PWY
THRDLCTCAT-PWY	THREOCAT-PWY
PWY-5436	THREOCAT-PWY
PWY66-428	
TRPSYN-PWY	PWY-6629 // COMPLETE-ARO-PWY
TRPCAT-PWY	PWY-2504 // PWY-6954 // PWY-6505
TRYPDEG-PWY	
TRYPTOPHAN-DEGRADATION-1	
TRPKYNCAT-PWY	PWY-8017
PWY-5655	
PWY-5651	PWY-6309 // NADSYN-PWY // PWY-5655 // TRYPTOPHAN-DEGRADATION-1
PWY-3162	
PWY-3181	
PWY-5081	
PWY-6307	
PWY-6309	
PWY-6505	
PWY-8017	
TYRSYN	PWY-6630 // COMPLETE-ARO-PWY
PWY-3461	PWY-3481
PWY-6120	
PWY-6134	
TYRFUMCAT-PWY	
PWY-5151	
PWY3O-4108	
PWY-7514	
PWY-8016	
VALSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY
VALDEG-PWY	
PWY-5057	
PWY-8183	
PWY-6645	
PWY18C3-18	PWY18C3-14
PWY-5828	
PWY-5197	
PWY-7839	PWY-7835
LACTOSECAT-PWY	
LACTOSEUTIL-PWY	
BGALACT-PWY	
PWY-5175	
PWY-6817	
PWY-6778	
PWY-7265	
PWY-6132	ERGOSTEROL-SYN-PWY // PWY66-4 // PWY66-3 // PWY66-341
PWY-1	
PWY-7940	
PWY-5801	
PWY-8081	
PWY-5152	
PWY1F-823	
PWY66-375	
PWY-5412	PWY-5416
PWY-5923	
PWY-5924	
PWY-6526	
PWY-8029	
PWY-7182	
PWY-3022	PWY-5991
PWY-3121	
PWY-6955	
PWY-5365	
PWY-6828	
PWY-5995	
PWY-6001	
PWY-7593	PWY-7596
PWY-7496	
PWY-7091	
PWY2B4Q-8	
LIPA-CORESYN-PWY	LPSSYN-PWY
PWY-8248	
PWY1R65-1	
PWY2B4Q-4	
NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY
PWY-8283	
PWY-8245	
PWY-8073	
PWY0-501	
PWY0-1275	
PWY-6987	
PWY-7382	
PWY0-522	
PWY-6984	
PWY-7884	
PWY66-392	
PWY-7572	
PWY-6873	
PWY-5143	
PWY-8115	
PWY-5990	PWY-5991
PWY-6002	
PWY-7535	
PWY-5468	
PWY-112	
PWY-5967	
PWY-5132	PWY-5134
PWY-5947	CAROTENOID-PWY
PWY-5060	
PWY-6239	
PWY-7444	
PWY-7445	
PWY-7252	
PWY-6524	
PWY-7943	
PWY-7708	
M-CRESOL-DEGRADATION-PWY	
PWY-142	
PWY-2701	
PWY-5876	
MALATE-ASPARTATE-SHUTTLE-PWY	
PWY-5796	
PWY-5794	
PWY-6060	
MALTOSECAT-PWY	
PWY-1501	PWY-2504 // PWY-6957 // PWY-6954
PWY-6957	
PWY-6591	
PWY-6592	
PWY-6109	
PWY-3881	
PWY-6531	
MANNIDEG-PWY	HEXITOLDEGSUPER-PWY // P461-PWY
PWY-3861	
PWY-7531	
PWY-6116	
PWY-6686	
PWY-6687	
PWY-5656	
PWY-5658	
PWY-6005	
PWY-5466	
PWY-5793	
PWY-2561	
PWY-7109	PWY-7110
PWY-5170	
PWY-6398	PWY-6402
PWY-6399	PWY-6402
PWY-6400	PWY-6402
PWY-7607	PWY-7609
PWY0-1301	
PWY-5890	PWY-5896
PWY-5891	PWY-5897
PWY-5892	PWY-5898
PWY-5895	PWY-5899
PWY-7996	
PWY-7998	
PWY-5849	PWY-5850
PWY-5839	PWY-5840
MENAQUINONESYN-PWY	PWY-6263 // ALL-CHORISMATE-PWY // PWY-7992 // PWY-5838
PWY-5844	PWY-5845
PWY-3061	
PWY-7582	
PWY-6391	PWY-6396
PWY-6392	PWY-6396
PWY-5430	
PWY-1641	PWY-1882
PWY-6742	
PWY-6044	
PWY-6146	
PWY-5254	
METH-ACETATE-PWY	PWY-6830
PWY-5248	PWY-6830
PWY-5258	
PWY-8107	
METHANOGENESIS-PWY	PWY-6830
PWY-5259	
CO2FORM-PWY	PWY-6830
PWY-8304	
PWY-5247	PWY-6830
PWY-5260	
PWY-5261	
PWY-5250	PWY-6830
PWY-1701	PWY-1882
PWY-7616	
PWY-6966	PWY-1701
PWY-6510	PWY-7616
PWY-6509	
PWY-5506	
PWY-7614	
PWY-8306	
PWY-8305	
PWY-6303	
PWY-7007	
PWY-5489	
PWY-7721	
PWY-7779	
PWY-5209	
METHFORM-PWY	PWY-6830
PWY-6967	PWY-1701
PWY-6965	PWY-6962
PWY-8267	
PWY-8268	
PWY-8269	
PWY-6728	
PWY-6913	
NONMEVIPP-PWY	PWY-7156 // PWY-7392 // PWY-6270 // PWY-5121
PWY-7560	
METHYLGALLATE-DEGRADATION-PWY	
PWY-5386	METHGLYUT-PWY
PWY-5462	
PWY-5453	METHGLYUT-PWY
PWY-5459	METHGLYUT-PWY
PWY-5458	
MGLDLCTANA-PWY	
PWY-5456	
PWY-5386-1	
PWY-6730	
PWY-8067	
PWY0-1533	
PWY-7399	
PWY-8066	
PWY-6064	PWY-6266
PWY18C3-22	PWY18C3-25
PWY18C3-24	
PWY-6184	
PWY-6048	PWY-6049
PWY-6045	
PWY-7285	
PWY-7422	
PWY-5074	
PWY-922	ERGOSTEROL-SYN-PWY // PWY66-5 // PWY-5910
PWY-6174	
PWY-7524	
PWY-8125	
PWY-8119	
PWY-4985	
PWY66-382	PWY-7305
PWY-7045	
PWY-6111	
PWY-7269	PWY-7245
PWY-8039	
FERMENTATION-PWY	
PWY-8171	
PWY-5963	
PWY-6823	
PWY-7477	
PWY-6383	PWY-6404
PWY-7420	
PWY18C3-8	PWY18C3-12
PWY-83	
PWY-3041	
PWY-5270	
PWY-7375	PWY-7379
PWY-7379	
PWY-7433	
PWY-7435	
PWY-8012	
PWY0-1546	
PWY-7412	
PWY-7746	
PWY-7236	
PWY-8122	
PWYG-321	PWY-6113
PWY-6397	PWY-6404
PWY1G-0	
PWY1G-126	
PWY1G-1	
PWY-7237	
PWY-2301	
P562-PWY	PWY-7237
PWY-7241	
PWY-7140	
PWY-6279	
PWY-8071	
PWY-7077	
GLUAMCAT-PWY	PWY-6517 // P441-PWY // GLCMANNANAUT-PWY
PWY-6517	
PWY-7054	
PWY0-1324	P441-PWY // GLCMANNANAUT-PWY
PWY-7581	
PWY-5171	
PWY-7801	
PWY-7802	
PWY-5388	
PWY-7861	
PWY-5315	PWY-7342 // PWY-7341
PWY-7463	PWY-7476
PWY-7978	
PWY0-1587	
PWY-5653	NADSYN-PWY
NAD-BIOSYNTHESIS-III	
PYRIDNUCSYN-PWY	PWY0-781
NADSYN-PWY	PWY-3502
PWY-8277	
NADPHOS-DEPHOS-PWY	
NADPHOS-DEPHOS-PWY-1	
PWY-5381	
PYRIDNUCSAL-PWY	
PWY-7761	
NAD-BIOSYNTHESIS-II	
PWY3O-4106	PWY-3502
PWY3O-4107	PWY-3502
PWY-5083	
PWY-6938	
PWY-6938-1	
PWY0-1334	
PWY0-1568	
PWY0-1335	
PWY0-1567	
PWY0-1348	
PWY0-1336	
PWY0-1590	
PWY0-1347	
PWY-8148	
PWY-8137	
PWY-8136	
PWY-8271	
PWY-5427	PWY-6956 // PWY-6954
PWY-7620	
PWY-6956	
PWY-8038	
PWY-7421	
PWY-7397	
PWY-6602	
PWY-5094	
PWY-5413	PWY-5416
PWY-7841	PWY-7835
PWY-7092	
PWY-7016	PWY-7021
PWY-6919	
PWY-7608	PWY-7609
PWY-6809	CAROTENOID-PWY
PWY-8069	
PWY-8177	
PWY-6681	
PWY-6287	PWY-5942
PWY-7298	
PWY-7928	
PWY-722	PWY-5062
PWY-5033	PWY-5062
PWY-5055	PWY-5062
PWY-5316	PWY-7342
P181-PWY	
PWY-6993	
PWY-7128	
PWY66-201	
PWY66-221	
DENITRIFICATION-PWY	
PWY-381	
PWY0-1321	
PWY-5674	
PWY0-1581	
PWY-5675	
PWY490-3	
PWY-6748	
PWY0-1352	
PWY0-1573	
PWY0-1584	
PWY-6845	
PWY-4983	PWY-5004
PWY-7860	
PWY-7084	
PWY-6021	
PWY-8295	
P282-PWY	
PWY-7683	
PWY-6523	
PWY-5637	
PWY-5640	
PWY-5355	
N2FIX-PWY	
PWY-7576	
PWY-6549	
P201-PWY	
PWY-7713	PWY-7715
PWY-7797	
PWY-5805	PWY-5864 // PWY-5862 // PWY-5845
PWY-6520	
NOPALINEDEG-PWY	
PWY-6342	
PWY-6562	PWY-6565
PWY-7138	
PWY-7175	
PWY-7604	
PWY-7287	
PWY-5532	
P621-PWY	
PWY-7624	
OANTIGEN-PWY	
PWY-6752	
PWY-8116	
P221-PWY	
PWY-7388	
PWY-5783	PWY-6263 // UBISYN-PWY // PWY-7992 // POLYISOPRENSYN-PWY // PWY-5861 // PWY-5838
PWY-7297	
OCTOPINEDEG-PWY	
PWY-8174	
PWY-7591	
PWY-6972	
PWY-6971	
PWY-7069	
PWY0-1337	
PWY-7291	
PWY-7307	
PWY-7292	
PWY-5147	PWY-5156
PWY-5996	
PWY-7587	PWY-7596
PWY-7664	
PWY-5423	PWY-5424
PWY-5425	PWY-5424
PWY-5787	
PWY-7105	
PWY-7781	
PWY-8156	
PWY-7720	
PWY-8043	
P342-PWY	
PWY-6818	
2ASDEG-PWY	
PWY-7489	
PWY-7478	
PWY-7481	
PWY-6699	
PWY-6694	
PWY-6695	
PWY-6696	
PWY-6697	
PWY-6698	
PWY-7985	
PHOTOALL-PWY	PWY-7124
PWY-5273	
PWY-5163	PWY-5273 // PWY-5266
PWY-5266	
PWY-741	PWY-5266
PWY-7745	
PWY-7955	
PWY-5470	
PWY-5994	PWY-6113
PWY-5971	PWY-5156 // PWY-6285
PWY-8279	
PWY-6282	PWY-6285 // PWY-6284
PWY-5366	
PWY-7589	
PWY3O-1801	
PWY-8055	
PWY-5414	PWY-5416
PWY-7363	
PWY-5490	
PARATHION-DEGRADATION-PWY	
PWY-8027	
PWY-7014	PWY-7000 // PWY-7021
PWY-7022	PWY-7020
PWY-7018	
PWY-5913	
PWY-7492	
PWY-6258	
PWY-8118	
PWY-7490	
PWY-7493	
PWY-7246	
PWY-7248	
PWY-8049	
PWY-5139	PWY-5312
PWY-7259	
PWY-7716	
PWY-5630	PWY-5634
PCPDEG-PWY	
PWY-7251	
PWY-5475	PWY-5478
PWY-12	
PWY-6915	
PENTOSE-P-PWY	PWY-6901
NONOXIPENT-PWY	PENTOSE-P-PWY
PWY-8178	
OXIDATIVEPENT-PWY	PENTOSE-P-PWY
PWY-7796	
P21-PWY	
PWY-5265	
PWY-6385	
PWY-6471	
PWY-6470	
PWY-6459	PWY-5265
PWY-6461	PWY-6471
PWY-6462	
PWY-6463	
PWY0-1586	
PEPTIDOGLYCANSYN-PWY	
PWY-7600	
PWY-6530	
PWY-6436	
PWY0-1599	
PWY0-1600	
PWY-6289	
PWY-5367	
PWY-6320	
PWY-3042	PWY-2055
PWY-5770	
PWY-5418	
PHENOLDEG-PWY	BENZCOA-PWY
PWY-6930	
PWY-7742	
PWY-7961	
PWY0-321	PWY-6071
PWY-1341	BENZCOA-PWY
PWY-5751	
PWY-8162	
PWY-7074	
PWY-7075	
2PHENDEG-PWY	PWY-6071
PWY-6534	
P641-PWY	
PWY-6438	
PWY-361	
PWY1F-467	PWY-7186
PWY18C3-21	
PWY-7498	
PWY-7917	
PWY-6515	
PWY-7769	
PWY-6348	
PWY-7411	
PWY-7039	
PWY-6803	
PWY3O-450	PHOSLIPSYN2-PWY // PWY4FS-5
PWY4FS-2	PHOSLIPSYN2-PWY // PWY4FS-5
PWY4FS-3	PHOSLIPSYN2-PWY // PWY4FS-5
PWY4FS-4	PHOSLIPSYN2-PWY // PWY4FS-5
PWY-6825	
PWY-6826	
PWY-7470	
PWY-7367	
PWY4FS-6	PHOSLIPSYN2-PWY
PWY-6273	
PWY4FS-7	PHOSLIPSYN2-PWY
PWY4FS-8	PHOSLIPSYN2-PWY
PWY-7366	
PWY-6580	
PWY-7625	
PWY-7885	
PWY-5669	PHOSLIPSYN2-PWY // PWY-7509 // PHOSLIPSYN-PWY
PWY-7501	
PWY-7506	
PWY-6322	
LIPASYN-PWY	
PWY-762	
PWY-7417	
PWY-7416	
PWY-7409	
P483-PWY	
PANTO-PWY	PWY-4221 // PANTOSYN-PWY
PWY-3961	
PWY-6654	
PWY-181	
PWY-101	PWY-7731 // PWY-7218 // PWY-6886 // PHOTOALL-PWY
PWY-7218	
PWY5F9-3233	
PWY-7741	
PWY-5917	
PWY-5915	
PWY-7580	
PWY-7579	
PWY-7578	
PWY-5027	PWY-5863
PWY-4702	
PWY-4781	
PWY-7484	
PWY-6745	
PWY-7170	
PWY66-389	
PWY-5107	
PWY-2541	
PWY-5063	PWY-5863
PWY-8085	
PWY-6738	
PWY-6739	
PWY-5059	
PWY-7189	
PWY-7152	
PWY-7982	
PWY-5045	
PWY-5752	
PWY-8006	
PWY-7782	
PWY-7783	
PWY-1581	PWY-5864
PWY-6978	
PWY-8179	
PWY-6691	
PWY-6314	
PWY-7491	
PWY-7819	
TEICHOICACID-PWY	
PWY-7815	
PWY-7816	
PWY-6710	
PWY-7738	
PWY-7932	PWY-7933
PWY-7934	
PWY-7929	PWY-7933
PWY-7794	
PWY1-3	
PWY-6657	
POLYISOPRENSYN-PWY	
PWY-7163	
PWY-7160	
PWY-7161	
PWY-7150	PWY-7149
PWY-7151	PWY-7149
PWY-7441	
PWY0-1338	
PWY-8138	
PWY-6464	
PWY-5118	
PWY-6815	
PWY-8228	
PPGPPMET-PWY	
PWY66-377	PWY-7305
PWY0-1597	
PWY-6703	
PWY-641	
PWY-7894	
PWY-7547	
PWY-7299	PWY-7305
P561-PWY	
PWY-8109	
PWY0-1544	
PWY-7774	
PWY-7775	
PWY-5707	PWY-6176
PWY-5109	
PROPIONMET-PWY	PWY-5130
PWY-7574	
PWY-5534	
PWY1YI0-7	
PWY-4921	
PWY-7031	
PWY-7661	
PWY-7658	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	
PWY-7919	
PWY-7918	
PWY-7899	
PWY-7037	
PWY-7921	
PWY-7922	
PWY-7979	
PWY-7437	
PWY-7893	
PWY-7798	
PWY-7887	
PWY-7511	
P184-PWY	PWY-6338
